Year,FB%,SL%,CT%,CB%,CH%,SF%,KN%
2012,0.31,0.14,0.21,0.15,0.2,0,0
2012,0.61,0.2,0,0,0.2,0,0
2012,0.63,0.13,0,0.02,0.22,0,0
2012,0.58,0.2,0,0,0.22,0,0
2012,0.5,0,0.07,0.2,0.23,0,0
2012,0.5,0,0.21,0.03,0.26,0,0
2012,0.47,0,0.18,0.09,0.26,0,0
2012,0.48,0,0.16,0.11,0.26,0,0
2012,0.5,0,0,0.25,0.26,0,0
2012,0.57,0,0.09,0.07,0.27,0,0
2012,0.57,0.04,0.04,0.09,0.27,0,0
2012,0.37,0.15,0.1,0.11,0.27,0,0
2012,0.52,0,0.07,0.12,0.28,0,0
2012,0.34,0,0.19,0.18,0.29,0,0
2012,0.47,0,0,0.19,0.34,0,0
2012,0.81,0.19,0,0,0,0,0
2013,0.12,0,0,0,0.01,0,0.87
2013,0.64,0.13,0.06,0.03,0.14,0,0
2013,0.46,0,0.35,0.15,0.04,0.01,0
2013,0.61,0.24,0,0.09,0.06,0.01,0
2013,0.73,0,0.04,0.13,0.06,0.04,0
2013,0.6,0.09,0.05,0,0.22,0.04,0
2013,0.38,0.32,0.16,0.08,0.02,0.05,0
2013,0.36,0,0.33,0.26,0,0.05,0
2013,0.73,0.1,0,0.08,0,0.09,0
2013,0.54,0.25,0,0.03,0.08,0.1,0
2013,0.57,0.27,0,0,0.04,0.12,0
2013,0.57,0.21,0,0.1,0,0.12,0
2013,0.44,0.27,0,0.17,0,0.12,0
2013,0.6,0.15,0,0.12,0,0.13,0
2013,0.4,0,0.39,0.04,0,0.17,0
2013,0.49,0.28,0.06,0,0,0.18,0
2013,0.53,0.18,0.11,0,0,0.18,0
2013,0.62,0.1,0,0.08,0,0.2,0
2013,0.49,0.26,0,0.03,0,0.21,0
2013,0.53,0.18,0,0.06,0,0.23,0
2013,0.73,0.27,0,0,0,0,0
2013,0.6,0.28,0.07,0.03,0.02,0,0
2013,0.58,0.3,0,0.1,0.02,0,0
2013,0.61,0.25,0,0.13,0.02,0,0
2013,0.53,0.25,0,0.21,0.02,0,0
2013,0.59,0.2,0.06,0.13,0.03,0,0
2013,0.6,0.02,0,0.36,0.03,0,0
2013,0.64,0.24,0,0.08,0.04,0,0
2013,0.73,0.13,0,0.1,0.04,0,0
2013,0.61,0.25,0,0.1,0.04,0,0
2013,0.72,0.12,0,0.12,0.04,0,0
2013,0.56,0,0.19,0.21,0.04,0,0
2013,0.41,0,0.29,0.27,0.04,0,0
2013,0.64,0.2,0,0.11,0.05,0,0
2013,0.64,0.2,0,0.12,0.05,0,0
2013,0.86,0.09,0,0,0.05,0,0
2013,0.5,0.18,0.11,0.15,0.06,0,0
2013,0.68,0.12,0,0.15,0.06,0,0
2013,0.71,0,0.04,0.18,0.06,0,0
2013,0.56,0.11,0,0.27,0.06,0,0
2013,0.59,0,0,0.35,0.06,0,0
2013,0.74,0.2,0,0,0.06,0,0
2013,0.5,0,0.3,0.13,0.07,0,0
2013,0.71,0,0,0.22,0.07,0,0
2013,0.67,0.27,0,0,0.07,0,0
2013,0.6,0.33,0,0,0.07,0,0
2013,0.54,0.39,0,0,0.07,0,0
2013,0.46,0.1,0.34,0.02,0.08,0,0
2013,0.63,0.24,0,0.05,0.08,0,0
2013,0.6,0.21,0,0.1,0.08,0,0
2013,0.63,0.24,0,0.05,0.09,0,0
2013,0.59,0.19,0.03,0.11,0.09,0,0
2013,0.49,0,0.25,0.18,0.09,0,0
2013,0.57,0.13,0,0.21,0.09,0,0
2013,0.55,0.28,0.04,0.03,0.1,0,0
2013,0.7,0,0.11,0.09,0.1,0,0
2013,0.52,0.07,0.21,0.09,0.1,0,0
2013,0.53,0,0.24,0.13,0.1,0,0
2013,0.39,0.38,0,0.13,0.1,0,0
