count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,year
0,0,1,1,02,Brandon Belt called out on strikes.,,False,False,False,False,False,False,False,False,T,,,,,,,3,04,kF,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,45,91.0,FA,-11,-21,5,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
1,0,2,1,02,Brandon Belt called out on strikes.,,False,False,False,False,False,False,False,False,T,,,,,,,3,04,bB,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,46,91.0,FA,0,134,10,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
2,0,3,1,02,Brandon Belt called out on strikes.,,False,False,False,False,False,False,False,False,T,,,,,,,3,04,bB,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,47,75.0,CU,-29,-134,12,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
2,0,4,2,02,Brandon Belt called out on strikes.,,False,False,False,False,False,False,False,False,T,,,,,,,3,04,kKL,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,48,87.0,CH,105,-73,11,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
2,0,5,2,02,Brandon Belt called out on strikes.,,False,False,False,False,False,False,False,False,T,,,,,,,3,04,kF,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,49,86.0,SL,-100,-86,7,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
2,0,6,2,02,Brandon Belt called out on strikes.,,False,False,False,False,False,False,False,False,T,,,,,,,3,04,kF,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,50,93.0,FA,147,30,11,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
2,1,7,3,02,Brandon Belt called out on strikes.,,True,False,False,False,False,False,False,False,T,,,,,,,3,04,kKL,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,51,84.0,SL,-88,-82,7,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
1,1,1,0,02,Hunter Pence strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,,,,,3,04,bB,Zack,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,52,90.0,FA,88,69,3,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
1,1,2,1,02,Hunter Pence strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,,,,,3,04,kKS,Zack,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,53,82.0,SL,-94,-130,12,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
1,1,3,2,02,Hunter Pence strikes out swinging.,,False,False,False,False,False,False,False,False,T,,,,,,,3,04,kKL,Zack,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,54,86.0,SL,-88,-104,7,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
